Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,126.300003,126.500000,108.000000,113.800003,113.064384,218508
2020-07-27,110.199997,111.000000,98.000000,105.300003,104.619331,282097
2020-07-28,101.500000,105.199997,98.000000,102.699997,102.036133,180629
2020-07-29,100.699997,102.500000,88.250000,89.699997,89.120163,519651
2020-07-30,87.000000,99.900002,85.099998,97.400002,96.770393,285012
2020-07-31,95.300003,98.449997,85.099998,89.050003,88.474373,213799
2020-08-03,89.849998,92.599998,87.500000,91.099998,90.511116,141146
2020-08-04,91.349998,92.750000,86.099998,87.949997,87.381477,101877
2020-08-05,87.949997,91.699997,86.800003,88.000000,87.431160,98275
2020-08-06,89.250000,89.650002,85.150002,86.599998,86.040207,108263
2020-08-07,86.050003,88.849998,80.099998,86.900002,86.338272,190169
2020-08-10,88.050003,88.449997,85.099998,85.949997,85.394409,137694
2020-08-11,86.800003,88.400002,84.000000,85.699997,85.146019,139656
2020-08-12,85.050003,86.250000,81.500000,83.900002,83.357658,165010
2020-08-13,82.500000,85.000000,82.150002,85.000000,84.450546,113590
2020-08-14,85.500000,85.949997,83.099998,83.199997,82.662186,92576
2020-08-17,82.900002,89.699997,82.000000,89.000000,88.424690,308223
2020-08-18,88.300003,89.250000,84.750000,86.199997,85.642792,195773
2020-08-19,86.849998,88.900002,85.099998,87.099998,86.536972,92752
2020-08-20,88.500000,88.500000,85.900002,87.949997,87.381477,91622
2020-08-21,88.449997,88.500000,82.750000,83.199997,82.662186,115730
2020-08-24,81.000000,88.250000,80.550003,83.849998,83.307983,145786
2020-08-25,83.750000,84.900002,82.150002,84.849998,84.301521,73430
2020-08-26,84.000000,85.500000,82.949997,85.000000,84.450546,110367
2020-08-27,84.900002,87.150002,83.400002,83.650002,83.109276,117063
2020-08-28,83.650002,85.500000,82.750000,84.699997,84.152489,74336
2020-08-31,85.500000,87.449997,83.900002,85.300003,84.748611,90076
2020-09-01,85.250000,87.300003,84.699997,84.900002,84.351196,146083
2020-09-02,85.000000,86.199997,83.849998,84.550003,84.003464,98546
2020-09-03,84.199997,85.150002,81.000000,81.250000,80.724792,128575
2020-09-04,81.000000,83.000000,78.000000,79.050003,78.539017,172221
2020-09-07,79.500000,86.449997,79.500000,85.800003,85.245384,191625
2020-09-08,88.550003,91.199997,81.500000,83.949997,83.407333,231840
2020-09-09,83.900002,90.750000,83.099998,90.199997,89.616936,215697
2020-09-10,91.750000,93.000000,86.949997,88.349998,87.778893,189611
2020-09-11,91.000000,96.449997,90.099998,95.199997,94.584610,309094
2020-09-14,97.500000,99.650002,95.699997,99.500000,98.856819,190469
2020-09-15,100.000000,107.000000,99.900002,105.500000,104.818031,255105
2020-09-16,106.000000,106.699997,99.150002,101.800003,101.141953,260496
2020-09-17,101.000000,103.800003,98.150002,102.900002,102.234840,263579
2020-09-18,103.500000,104.900002,101.300003,103.800003,103.129028,428179
2020-09-21,105.500000,105.500000,96.800003,98.599998,97.962639,240371
2020-09-22,98.199997,101.699997,97.750000,97.800003,97.167809,145881
2020-09-23,99.000000,103.000000,98.550003,102.800003,102.135490,141605
2020-09-24,100.099998,101.500000,98.150002,98.949997,98.310371,140876
2020-09-25,99.349998,102.400002,97.650002,102.400002,101.738075,121258
2020-09-28,104.599998,104.599998,101.199997,102.599998,101.936783,82707
2020-09-29,103.000000,106.199997,101.599998,105.500000,104.818031,103559
2020-09-30,104.800003,109.000000,103.400002,108.000000,107.301872,168768
2020-10-01,108.900002,111.300003,107.400002,109.099998,108.394760,123092
2020-10-02,108.599998,112.300003,107.400002,111.400002,110.679901,127059
2020-10-05,112.500000,114.900002,111.599998,114.599998,113.859207,103523
2020-10-06,114.900002,115.500000,111.500000,111.599998,110.878601,154734
2020-10-07,111.800003,116.099998,109.000000,115.300003,114.554688,154471
2020-10-08,116.000000,117.199997,113.500000,113.800003,113.064384,132606
2020-10-09,113.400002,122.099998,113.300003,120.599998,119.820427,220789
2020-10-12,120.000000,125.000000,118.699997,123.500000,122.701683,137078
2020-10-13,124.099998,126.400002,119.000000,125.000000,124.191986,208523
2020-10-14,124.900002,129.000000,124.099998,128.600006,127.768723,158585
2020-10-15,128.500000,134.300003,127.199997,130.199997,129.358368,248251
2020-10-16,134.000000,148.000000,131.899994,134.199997,133.332504,642562
2020-10-19,126.800003,127.900002,113.199997,120.099998,119.323654,669306
2020-10-20,119.400002,123.300003,115.800003,116.400002,115.647575,237400
2020-10-21,116.000000,117.599998,106.500000,108.300003,107.599937,357568
2020-10-22,106.699997,114.599998,106.099998,110.699997,109.984421,235924
2020-10-23,112.000000,114.500000,107.699997,109.099998,108.394760,159646
2020-10-26,107.699997,113.000000,107.599998,109.300003,108.593475,148465
2020-10-27,111.099998,111.199997,108.500000,109.900002,109.189598,82492
2020-10-28,109.599998,123.599998,109.199997,110.300003,109.587013,389447
2020-10-29,111.199997,113.500000,110.300003,113.400002,112.666969,153051
2020-10-30,113.900002,117.300003,111.699997,115.099998,114.355980,165337
2020-11-02,117.199997,121.199997,115.300003,119.500000,118.727539,171931
2020-11-03,121.000000,123.800003,117.599998,118.000000,117.237236,309398
2020-11-04,117.699997,123.000000,115.199997,122.199997,121.410080,221191
2020-11-05,123.199997,127.000000,120.099998,122.400002,121.608795,245639
2020-11-06,124.699997,126.400002,121.800003,125.900002,125.086166,183519
2020-11-09,129.000000,129.699997,108.400002,115.599998,114.852745,582407
2020-11-10,112.500000,115.500000,103.400002,105.199997,104.519974,613350
2020-11-11,100.400002,106.699997,97.599998,99.500000,98.856819,447695
2020-11-12,99.000000,108.000000,97.000000,101.000000,100.347122,482090
2020-11-13,100.599998,104.000000,100.599998,102.099998,101.440010,214102
2020-11-16,102.000000,102.699997,91.349998,91.900002,91.305946,522805
2020-11-17,90.800003,98.449997,90.199997,92.849998,92.249802,321031
2020-11-18,93.000000,96.750000,92.000000,92.000000,91.405304,214765
2020-11-19,91.000000,94.900002,91.000000,92.500000,91.902069,151135
2020-11-20,93.199997,94.500000,92.050003,93.199997,92.597542,139831
2020-11-23,94.050003,94.400002,90.300003,90.500000,89.914993,191387
2020-11-24,91.400002,92.300003,88.199997,88.949997,88.375015,216602
2020-11-25,89.000000,93.449997,89.000000,91.550003,90.958214,223260
2020-11-26,92.000000,96.150002,91.250000,95.050003,94.435585,197165
2020-11-27,96.599998,96.699997,93.349998,95.949997,95.329765,183215
2020-11-30,97.150002,99.300003,95.250000,96.699997,96.074913,228003
2020-12-01,97.849998,98.550003,96.099998,97.449997,96.820068,123459
2020-12-02,97.150002,97.150002,92.099998,93.599998,92.994957,231252
2020-12-03,76.000000,85.000000,73.250000,80.750000,80.228020,943248
2020-12-04,80.750000,82.000000,76.199997,76.550003,76.055176,429902
2020-12-07,75.400002,75.500000,66.699997,69.900002,69.448158,693050
2020-12-08,68.199997,74.000000,67.500000,70.949997,70.491371,389026
2020-12-09,71.250000,72.400002,68.750000,69.099998,68.653328,208551
2020-12-10,68.800003,72.800003,68.400002,71.000000,70.541046,212351
2020-12-11,72.099998,73.550003,70.050003,71.400002,70.938461,161717
2020-12-14,73.150002,74.750000,71.550003,74.500000,74.018425,179152
2020-12-15,75.250000,77.199997,74.099998,74.349998,73.869392,244896
2020-12-16,74.250000,76.400002,72.599998,75.750000,75.260345,114870
2020-12-17,76.699997,77.500000,75.250000,76.550003,76.055176,130051
2020-12-18,77.400002,78.550003,76.849998,78.500000,77.992569,135620
2020-12-21,78.000000,78.699997,74.800003,77.000000,76.502266,158074
2020-12-22,77.099998,77.900002,73.199997,74.500000,74.018425,147148
2020-12-23,75.199997,75.900002,73.349998,74.250000,73.770042,114701
2020-12-24,72.599998,73.900002,72.099998,72.199997,71.733284,60276
2020-12-28,72.099998,75.000000,71.800003,73.900002,73.422302,111147
2020-12-29,73.949997,74.599998,72.800003,73.199997,72.726822,98053
2020-12-30,72.949997,74.550003,72.699997,73.000000,72.528122,123035
2020-12-31,72.949997,73.500000,69.900002,71.000000,70.541046,132904
2021-01-04,71.800003,76.800003,71.550003,76.650002,76.154526,195958
2021-01-05,77.000000,80.400002,74.849998,77.599998,77.098381,297273
2021-01-06,78.599998,78.599998,75.150002,76.199997,75.707428,151950
2021-01-07,76.500000,78.449997,75.699997,77.300003,76.800323,154352
2021-01-08,78.000000,78.500000,76.099998,77.199997,76.700966,128055
2021-01-11,78.000000,81.150002,77.250000,80.949997,80.426727,166778
2021-01-12,81.099998,81.650002,78.300003,78.650002,78.141602,146218
2021-01-13,79.500000,84.949997,78.599998,84.550003,84.003464,198080
2021-01-14,84.650002,86.349998,83.550003,85.849998,85.295052,172474
2021-01-15,86.000000,86.300003,82.150002,83.699997,83.158951,157036
2021-01-18,85.000000,88.349998,84.000000,87.599998,87.033745,146542
2021-01-19,88.250000,88.250000,85.900002,87.500000,86.934387,95710
2021-01-20,88.000000,89.550003,87.050003,88.599998,88.027275,80513
2021-01-21,88.750000,91.400002,86.000000,86.750000,86.189240,181354
2021-01-22,86.699997,87.750000,82.550003,86.500000,85.940857,187368
2021-01-25,88.000000,89.550003,87.000000,87.750000,87.182770,118569
2021-01-26,104.000000,110.400002,97.000000,106.300003,105.612869,840370
2021-01-27,116.000000,116.699997,101.000000,107.599998,106.904457,639250
2021-01-28,106.400002,107.000000,102.500000,103.599998,102.930313,204542
2021-01-29,102.099998,106.199997,102.000000,105.000000,104.321266,151609
2021-02-01,108.099998,114.000000,106.599998,113.199997,112.468262,351608
2021-02-02,114.000000,114.300003,110.099998,110.500000,109.785713,153369
2021-02-03,110.400002,113.800003,108.500000,113.500000,112.766319,138646
2021-02-04,113.599998,114.000000,111.099998,112.099998,111.375374,104154
2021-02-05,111.300003,115.000000,111.300003,114.800003,114.057922,153248
2021-02-08,116.400002,118.699997,115.000000,118.000000,117.237236,154794
2021-02-09,117.599998,120.000000,116.000000,119.400002,118.628181,141720
2021-02-10,119.800003,119.800003,114.300003,115.500000,114.753395,171306
2021-02-11,115.400002,119.000000,115.199997,118.800003,118.032066,115308
2021-02-12,118.000000,118.900002,116.000000,117.400002,116.641113,77842
2021-02-15,115.000000,117.699997,114.900002,116.400002,115.647575,80710
2021-02-16,116.300003,117.099998,114.300003,114.699997,113.958565,89812
2021-02-17,112.599998,119.000000,99.650002,116.099998,115.349510,648464
2021-02-18,116.599998,116.800003,109.400002,110.300003,109.587013,201472
2021-02-19,109.400002,114.400002,109.400002,113.699997,112.965027,116374
2021-02-22,113.800003,114.699997,109.400002,110.000000,109.288948,139015
2021-02-23,110.599998,110.800003,102.800003,107.400002,106.705757,220999
2021-02-24,107.900002,111.199997,106.000000,109.099998,108.394760,108367
2021-02-25,109.400002,114.500000,108.300003,113.000000,112.269554,143408
2021-02-26,113.099998,113.800003,109.400002,109.599998,108.891533,144015
2021-03-01,113.599998,116.900002,112.000000,114.900002,114.157272,192153
2021-03-02,115.000000,115.000000,109.199997,109.199997,108.494118,190362
2021-03-03,110.300003,110.699997,105.099998,106.000000,105.314804,169480
2021-03-04,106.000000,106.000000,101.099998,103.099998,102.433548,179644
2021-03-05,102.000000,107.400002,100.400002,101.400002,100.744537,179420
2021-03-08,103.500000,103.500000,98.599998,101.000000,100.347122,146990
2021-03-09,101.000000,106.599998,99.199997,104.699997,104.023201,142280
2021-03-10,105.599998,105.699997,102.500000,103.400002,102.731613,87142
2021-03-11,104.800003,106.300003,102.900002,103.500000,102.830963,101533
2021-03-12,104.000000,105.000000,102.000000,102.699997,102.036133,80794
2021-03-15,103.500000,104.800003,102.900002,104.400002,103.725143,67272
2021-03-16,104.699997,107.199997,103.900002,106.000000,105.314804,84687
2021-03-17,106.000000,106.099998,101.400002,102.199997,101.539360,99206
2021-03-18,103.900002,104.699997,101.800003,102.300003,101.638725,79019
2021-03-19,101.599998,103.699997,100.599998,102.500000,101.837425,93918
2021-03-22,102.300003,104.199997,99.849998,102.199997,101.539360,90432
2021-03-23,102.000000,103.099998,99.599998,100.599998,99.949707,86702
2021-03-24,100.099998,100.500000,96.099998,97.800003,97.167809,143607
2021-03-25,97.099998,99.800003,96.500000,98.449997,97.813606,88395
2021-03-26,98.650002,100.599998,97.750000,99.099998,98.459404,67226
2021-03-29,99.050003,99.449997,97.500000,97.849998,97.217484,64273
2021-03-30,98.449997,100.500000,96.849998,97.349998,96.720718,88959
2021-03-31,97.000000,99.599998,97.000000,98.949997,98.310371,82918
2021-04-01,99.400002,100.349998,96.800003,97.599998,96.969101,73920
2021-04-06,97.699997,99.879997,96.300003,99.440002,98.797211,108495
2021-04-07,98.699997,98.879997,96.680000,96.699997,96.074913,110190
2021-04-08,96.699997,97.800003,94.099998,97.199997,96.571686,158198
2021-04-09,97.300003,97.720001,94.220001,94.220001,93.610954,99562
2021-04-12,94.000000,94.080002,91.239998,92.019997,91.425171,135858
2021-04-13,92.120003,95.160004,91.760002,94.059998,93.451981,132230
2021-04-14,93.940002,95.000000,92.800003,94.000000,93.392372,65268
2021-04-15,94.519997,96.779999,93.779999,94.320000,93.710304,106555
2021-04-16,96.099998,96.099998,92.400002,93.139999,92.537933,62112
2021-04-19,95.220001,95.220001,92.540001,92.879997,92.279610,88487
2021-04-20,93.000000,93.620003,90.720001,91.139999,90.550858,80747
2021-04-21,91.000000,95.400002,91.000000,95.260002,94.644226,94399
2021-04-22,95.300003,95.300003,92.160004,94.300003,93.690437,100989
2021-04-23,94.800003,97.500000,92.839996,93.199997,92.597542,143325
2021-04-26,93.300003,94.559998,91.720001,92.739998,92.140518,85330
2021-04-27,92.580002,94.419998,92.099998,92.820000,92.220001,65026
2021-04-28,92.440002,92.720001,90.739998,91.360001,91.360001,79183
2021-04-29,91.620003,101.349998,90.879997,98.699997,98.699997,295940
2021-04-30,100.300003,100.349998,94.800003,95.000000,95.000000,160905
2021-05-03,95.000000,96.160004,91.519997,91.599998,91.599998,135317
2021-05-04,91.599998,91.739998,88.339996,88.419998,88.419998,177726
2021-05-05,88.500000,89.379997,85.660004,87.019997,87.019997,203344
2021-05-06,86.900002,87.000000,80.660004,81.879997,81.879997,256408
2021-05-07,81.900002,85.860001,81.900002,85.160004,85.160004,127452
2021-05-10,85.739998,85.879997,81.800003,82.199997,82.199997,99298
2021-05-11,82.400002,83.720001,78.779999,83.419998,83.419998,173904
2021-05-12,83.220001,84.199997,81.199997,82.160004,82.160004,75107
2021-05-13,81.180000,83.000000,79.400002,82.300003,82.300003,89574
2021-05-14,82.720001,83.959999,81.199997,83.959999,83.959999,64607
2021-05-17,84.040001,84.599998,81.599998,83.620003,83.620003,96357
2021-05-18,83.599998,84.940002,82.099998,84.639999,84.639999,71440
2021-05-19,83.959999,84.139999,81.400002,82.900002,82.900002,75986
2021-05-20,82.839996,84.419998,82.239998,84.400002,84.400002,70836
2021-05-21,83.320000,83.839996,80.599998,80.900002,80.900002,132482
2021-05-24,80.660004,82.040001,80.559998,80.599998,80.599998,45635
2021-05-25,80.500000,81.400002,79.639999,79.900002,79.900002,66843
2021-05-26,80.019997,81.440002,79.199997,79.199997,79.199997,74706
2021-05-27,79.239998,79.639999,76.320000,76.519997,76.519997,170505
2021-05-28,76.500000,77.300003,74.720001,76.540001,76.540001,124394
2021-05-31,76.540001,77.480003,76.180000,76.879997,76.879997,68602
2021-06-01,77.300003,77.379997,73.800003,74.500000,74.500000,122800
2021-06-02,74.320000,74.800003,72.540001,73.279999,73.279999,126487
2021-06-03,73.199997,75.900002,73.199997,73.800003,73.800003,96794
2021-06-04,74.339996,75.680000,72.820000,75.680000,75.680000,66794
2021-06-07,76.199997,76.239998,72.500000,74.000000,74.000000,95239
2021-06-08,73.199997,74.320000,72.959999,73.220001,73.220001,49110
2021-06-09,73.000000,75.779999,72.959999,75.339996,75.339996,55510
2021-06-10,75.339996,76.879997,75.139999,76.779999,76.779999,92298
2021-06-11,76.779999,77.839996,75.940002,77.279999,77.279999,77732
2021-06-14,78.139999,78.260002,76.820000,77.500000,77.500000,59479
2021-06-15,77.500000,78.959999,76.879997,78.139999,78.139999,71547
2021-06-16,78.360001,78.360001,75.580002,76.800003,76.800003,83236
2021-06-17,76.580002,76.800003,74.239998,76.620003,76.620003,77198
2021-06-18,76.599998,77.699997,74.500000,77.360001,77.360001,117659
2021-06-21,77.019997,77.019997,73.080002,73.139999,73.139999,129344
2021-06-22,73.000000,74.620003,72.599998,74.320000,74.320000,59882
2021-06-23,74.440002,75.400002,73.300003,74.720001,74.720001,61272
2021-06-24,74.680000,77.339996,73.779999,76.459999,76.459999,62915
2021-06-25,77.040001,79.320000,76.180000,78.500000,78.500000,83185
2021-06-28,78.599998,79.739998,77.279999,78.919998,78.919998,103970
2021-06-29,78.779999,81.500000,78.680000,80.980003,80.980003,136809
2021-06-30,81.059998,81.360001,75.440002,75.860001,75.860001,134094
2021-07-01,76.400002,77.379997,73.320000,75.620003,75.620003,161638
2021-07-02,76.040001,78.400002,75.559998,76.699997,76.699997,106689
2021-07-05,76.400002,76.860001,75.620003,76.199997,76.199997,46903
2021-07-06,75.699997,78.260002,75.440002,77.699997,77.699997,55058
2021-07-07,77.699997,77.980003,76.279999,77.720001,77.720001,60944
2021-07-08,77.139999,78.820000,77.000000,78.519997,78.519997,67353
2021-07-09,78.519997,79.660004,77.260002,78.720001,78.720001,66767
2021-07-12,78.720001,79.800003,78.480003,78.959999,78.959999,67069
2021-07-13,79.800003,79.800003,75.599998,76.320000,76.320000,80464
2021-07-14,75.519997,77.040001,75.199997,75.720001,75.720001,80330
2021-07-15,75.419998,75.419998,72.699997,73.320000,73.320000,116420
2021-07-16,73.019997,75.620003,72.919998,75.220001,75.220001,68443
2021-07-19,75.000000,76.879997,74.059998,76.160004,76.160004,80955
2021-07-20,76.339996,76.400002,74.180000,74.699997,74.699997,49303
2021-07-21,74.199997,76.599998,74.199997,76.400002,76.400002,68021
2021-07-22,75.199997,77.720001,75.199997,77.500000,77.500000,58455
2021-07-23,77.900002,79.379997,76.900002,78.239998,78.239998,70803
2021-07-26,77.379997,78.139999,75.379997,76.300003,76.300003,72518
2021-07-27,74.800003,75.400002,73.500000,74.139999,74.139999,114252
2021-07-28,74.000000,78.320000,73.940002,77.320000,77.320000,113648
